,0
0,Wellsure Medical Practice PC
1,New York Physicians
2,New York Doctors Urgent Care
3,Independent Doctors of New York (IDNY)
4,Dr. Michael Raffinan
5,"New York Physicians LLP: Nancy A. Jasper, MD"
6,"Primary Care Doctor, Michael Aziz, MD"
7,Mount Sinai Doctors Specialty Practice
8,Mount Sinai Doctors Max Meltzer – East 1st Street
9,Mount Sinai Doctors - Greenwich Street
10,ColumbiaDoctors - Midtown
11,AdvantageCare Physicians - Flatiron District Medical Office
12,Mount Sinai Visiting Doctors
13,Mount Sinai Doctors - West 8th Street
14,Mount Sinai Doctors - West 23rd Street
15,Doctor Office
16,Mount Sinai Doctors - East 34th Street
17,Naturopathic Doctor New York
18,Integrative Medicine of NYC
19,Visiting Doctors Program
20,Lotfi Peter MD
21,1
22,20
23,Wellsure Medical Practice PC
24,New York Physicians
25,New York Doctors Urgent Care
26,Independent Doctors of New York (IDNY)
27,Dr. Michael Raffinan
28,"New York Physicians LLP: Nancy A. Jasper, MD"
29,"Primary Care Doctor, Michael Aziz, MD"
30,Mount Sinai Doctors Specialty Practice
31,Mount Sinai Doctors Max Meltzer – East 1st Street
32,Mount Sinai Doctors - Greenwich Street
33,ColumbiaDoctors - Midtown
34,AdvantageCare Physicians - Flatiron District Medical Office
35,Mount Sinai Visiting Doctors
36,Mount Sinai Doctors - West 8th Street
37,Mount Sinai Doctors - West 23rd Street
38,Doctor Office
39,Mount Sinai Doctors - East 34th Street
40,Naturopathic Doctor New York
41,Integrative Medicine of NYC
42,Visiting Doctors Program
43,Lotfi Peter MD
44,1
45,20
46,Wellsure Medical Practice PC
47,New York Physicians
48,New York Doctors Urgent Care
49,Independent Doctors of New York (IDNY)
50,Dr. Michael Raffinan
51,"New York Physicians LLP: Nancy A. Jasper, MD"
52,"Primary Care Doctor, Michael Aziz, MD"
53,Mount Sinai Doctors Specialty Practice
54,Mount Sinai Doctors Max Meltzer – East 1st Street
55,Mount Sinai Doctors - Greenwich Street
56,ColumbiaDoctors - Midtown
57,AdvantageCare Physicians - Flatiron District Medical Office
58,Mount Sinai Visiting Doctors
59,Mount Sinai Doctors - West 8th Street
60,Mount Sinai Doctors - West 23rd Street
61,Doctor Office
62,Mount Sinai Doctors - East 34th Street
63,Naturopathic Doctor New York
64,Integrative Medicine of NYC
65,Visiting Doctors Program
66,Lotfi Peter MD
67,1
68,20
69,Wellsure Medical Practice PC
70,New York Physicians
71,New York Doctors Urgent Care
72,Independent Doctors of New York (IDNY)
73,Dr. Michael Raffinan
74,"New York Physicians LLP: Nancy A. Jasper, MD"
75,"Primary Care Doctor, Michael Aziz, MD"
76,Mount Sinai Doctors Specialty Practice
77,Mount Sinai Doctors Max Meltzer – East 1st Street
78,Mount Sinai Doctors - Greenwich Street
79,ColumbiaDoctors - Midtown
80,AdvantageCare Physicians - Flatiron District Medical Office
81,Mount Sinai Visiting Doctors
82,Mount Sinai Doctors - West 8th Street
83,Mount Sinai Doctors - West 23rd Street
84,Doctor Office
85,Mount Sinai Doctors - East 34th Street
86,Naturopathic Doctor New York
87,Integrative Medicine of NYC
88,Visiting Doctors Program
89,Lotfi Peter MD
90,1
91,20
92,Wellsure Medical Practice PC
93,New York Physicians
94,New York Doctors Urgent Care
95,Independent Doctors of New York (IDNY)
96,Dr. Michael Raffinan
97,"New York Physicians LLP: Nancy A. Jasper, MD"
98,"Primary Care Doctor, Michael Aziz, MD"
99,Mount Sinai Doctors Specialty Practice
100,Mount Sinai Doctors Max Meltzer – East 1st Street
101,Mount Sinai Doctors - Greenwich Street
102,ColumbiaDoctors - Midtown
103,AdvantageCare Physicians - Flatiron District Medical Office
104,Mount Sinai Visiting Doctors
105,Mount Sinai Doctors - West 8th Street
106,Mount Sinai Doctors - West 23rd Street
107,Doctor Office
108,Mount Sinai Doctors - East 34th Street
109,Naturopathic Doctor New York
110,Integrative Medicine of NYC
111,Visiting Doctors Program
112,Lotfi Peter MD
113,1
114,20
115,Wellsure Medical Practice PC
116,New York Physicians
117,New York Doctors Urgent Care
118,Independent Doctors of New York (IDNY)
